Applicant_ID,Age,City_Tier,Annual_Income,CIBIL_Score,UPI_Txns_Monthly,Loan_Amount,Loan_Tenure_Months,Default_Status
APP-100087,29,Tier_3,611767,697,45,50000,36,0
APP-100088,24,Tier_1,905389,633,67,50000,12,0
APP-100089,36,Tier_2,761230,900,56,200000,36,0
APP-100090,22,Tier_1,559763,744,43,100000,12,0
APP-100091,21,Tier_1,738303,678,66,50000,36,0
APP-100092,50,Tier_2,305125,801,33,100000,36,0
APP-100093,36,Tier_1,1078966,866,83,200000,24,0
APP-100094,29,Tier_2,737416,792,42,100000,36,0
APP-100095,36,Tier_3,437779,693,41,50000,24,0
APP-100096,33,Tier_1,1324148,705,107,50000,12,0
APP-100097,40,Tier_2,817697,702,44,100000,36,0
APP-100098,23,Tier_1,941301,743,74,50000,24,0
APP-100099,31,Tier_1,335950,622,18,50000,24,0
APP-100100,35,Tier_3,313584,780,36,500000,12,0
APP-100101,37,Tier_1,978127,835,70,100000,36,0
APP-100102,31,Tier_1,1112650,807,81,500000,36,0
APP-100103,30,Tier_1,792054,596,55,100000,12,1
APP-100104,28,Tier_1,970819,780,56,50000,24,1
APP-100105,21,Tier_1,841378,726,51,100000,24,0
APP-100106,37,Tier_3,757687,799,53,50000,12,0
APP-100107,21,Tier_1,810900,730,51,200000,36,0
APP-100108,21,Tier_1,616431,658,56,200000,24,0
APP-100109,35,Tier_1,1080776,751,69,100000,12,0
APP-100110,24,Tier_3,562217,778,55,100000,36,0
APP-100111,32,Tier_1,1373652,723,98,50000,12,0
APP-100112,36,Tier_1,780905,532,45,100000,12,0
APP-100113,36,Tier_1,912294,650,66,100000,12,0
APP-100114,32,Tier_3,529996,827,42,50000,12,0
APP-100115,39,Tier_2,412323,770,36,50000,36,0
APP-100116,34,Tier_1,527043,706,35,500000,12,0
APP-100117,39,Tier_1,856350,685,47,200000,12,0
APP-100118,39,Tier_1,757237,861,59,50000,12,1
APP-100119,32,Tier_1,1120658,731,68,50000,12,0
APP-100120,21,Tier_1,803941,900,69,200000,12,0
APP-100121,24,Tier_1,736889,900,68,100000,36,0
APP-100122,27,Tier_3,688816,668,43,200000,36,0
APP-100123,28,Tier_3,653353,710,45,200000,36,0
APP-100124,29,Tier_2,594774,675,31,500000,24,1
APP-100125,23,Tier_1,749706,825,53,100000,24,0
APP-100126,23,Tier_3,852907,763,66,50000,12,0
APP-100127,32,Tier_1,895878,634,73,50000,24,1
APP-100128,50,Tier_3,453913,701,47,50000,36,0
APP-100129,43,Tier_1,641165,740,46,100000,36,0
APP-100130,51,Tier_1,864948,719,48,100000,12,0
APP-100131,31,Tier_1,764713,756,40,100000,24,0
APP-100132,30,Tier_2,796796,700,43,50000,12,0
APP-100133,34,Tier_1,695757,801,44,100000,36,0
APP-100134,34,Tier_3,883981,786,59,50000,24,0
APP-100135,36,Tier_2,710328,772,51,100000,24,1
APP-100136,21,Tier_1,1002405,630,57,200000,36,0
APP-100137,26,Tier_1,917887,721,59,50000,12,0
APP-100138,38,Tier_2,753639,889,63,50000,24,1
APP-100139,45,Tier_1,750514,740,57,100000,24,0
APP-100140,33,Tier_3,333095,745,30,500000,36,0
APP-100141,34,Tier_1,716409,687,59,50000,24,0
APP-100142,29,Tier_2,300000,726,35,500000,24,0
APP-100143,39,Tier_1,1381941,900,105,100000,24,0
APP-100144,21,Tier_1,741542,699,57,50000,36,0
APP-100145,33,Tier_2,300000,644,38,200000,12,0
APP-100146,53,Tier_1,871914,638,59,100000,24,0
APP-100147,29,Tier_2,524169,684,33,100000,36,0
APP-100148,38,Tier_1,563985,725,49,50000,12,0
APP-100149,39,Tier_1,960457,673,69,100000,24,0
APP-100150,28,Tier_2,523835,733,31,50000,12,0
APP-100151,21,Tier_1,783125,900,50,50000,36,0
APP-100152,39,Tier_3,300000,800,28,200000,12,0
APP-100153,25,Tier_2,515989,695,26,50000,12,0
APP-100154,37,Tier_3,472131,672,43,100000,12,1
APP-100155,26,Tier_2,570626,765,45,50000,36,0
APP-100156,34,Tier_2,552568,840,37,50000,12,0
APP-100157,22,Tier_2,526336,771,26,50000,36,0
APP-100158,42,Tier_3,565302,730,50,100000,24,0
APP-100159,29,Tier_1,814283,707,65,100000,12,0
APP-100160,36,Tier_1,985377,741,65,100000,36,0
APP-100161,27,Tier_2,325043,594,23,100000,36,0
APP-100162,38,Tier_2,747510,587,55,200000,36,0
APP-100163,21,Tier_1,723514,791,56,200000,24,0
APP-100164,22,Tier_1,929589,765,61,500000,12,0
APP-100165,45,Tier_3,387643,643,30,200000,24,0
APP-100166,37,Tier_1,502695,745,26,500000,24,0
APP-100167,37,Tier_1,699485,761,48,500000,12,0
APP-100168,26,Tier_1,711726,656,66,100000,36,0
APP-100169,37,Tier_2,683864,689,62,100000,36,0
APP-100170,42,Tier_1,1128921,792,76,50000,24,0
APP-100171,38,Tier_1,1100219,862,90,50000,12,0
APP-100172,30,Tier_1,610348,691,54,100000,24,0
APP-100173,33,Tier_1,539917,787,51,200000,36,1
APP-100174,37,Tier_2,503862,775,43,100000,24,0
APP-100175,39,Tier_1,795633,661,65,50000,12,0
APP-100176,35,Tier_1,1109457,723,92,100000,36,0
APP-100177,36,Tier_2,300000,745,28,100000,36,0
APP-100178,22,Tier_1,607890,811,49,100000,24,0
APP-100179,21,Tier_2,300000,706,16,100000,24,0
APP-100180,38,Tier_3,612476,761,36,50000,24,1
APP-100181,32,Tier_3,501432,698,43,100000,24,0
APP-100182,27,Tier_1,941213,766,74,50000,36,0
APP-100183,41,Tier_1,1238287,848,85,100000,24,0
APP-100184,31,Tier_3,669505,842,36,50000,36,0
APP-100185,30,Tier_2,300000,767,12,200000,24,0
APP-100186,22,Tier_2,695749,758,39,100000,36,1
APP-100187,40,Tier_1,965215,530,74,50000,24,0
APP-100188,28,Tier_2,475332,876,31,50000,12,0
APP-100189,21,Tier_2,424300,696,30,100000,12,0
APP-100190,40,Tier_3,300000,761,20,500000,12,1
APP-100191,33,Tier_1,831918,673,62,50000,36,0
APP-100192,29,Tier_2,586357,723,39,50000,12,0
APP-100193,39,Tier_3,784646,712,43,100000,36,0
APP-100194,24,Tier_3,882140,796,52,200000,12,0
APP-100195,21,Tier_1,717187,667,47,100000,24,0
APP-100196,31,Tier_1,815098,657,66,100000,36,0
APP-100197,24,Tier_3,300000,864,31,500000,12,0
APP-100198,24,Tier_2,696933,712,39,200000,12,0
APP-100199,42,Tier_2,579668,754,29,200000,12,0
APP-100200,43,Tier_1,791539,771,61,100000,36,0
APP-100201,24,Tier_1,716684,652,38,100000,12,0
APP-100202,21,Tier_1,964847,768,69,200000,24,0
APP-100203,36,Tier_1,929317,652,64,50000,36,0
APP-100204,28,Tier_1,1005274,638,76,100000,36,0
APP-100205,43,Tier_2,443265,596,19,50000,36,1
APP-100206,34,Tier_2,313906,783,18,50000,24,0
APP-100207,23,Tier_2,838596,687,59,500000,12,0
APP-100208,35,Tier_1,962080,666,64,100000,12,0
APP-100209,35,Tier_2,682495,671,59,50000,36,0
APP-100210,42,Tier_2,443927,746,38,100000,36,0
APP-100211,25,Tier_3,304892,719,14,100000,12,0
APP-100212,34,Tier_3,435534,688,23,50000,24,0
APP-100213,27,Tier_2,782997,898,67,500000,24,0
APP-100214,22,Tier_3,467500,790,31,100000,36,0
APP-100215,21,Tier_1,413335,732,29,100000,36,0
APP-100216,32,Tier_1,842857,676,68,50000,36,0
APP-100217,32,Tier_1,775099,641,62,50000,24,1
APP-100218,37,Tier_1,337897,751,15,100000,12,0
APP-100219,43,Tier_1,781057,788,59,100000,24,0
APP-100220,51,Tier_1,821019,743,65,100000,12,0
APP-100221,41,Tier_1,537675,605,34,100000,24,0
APP-100222,34,Tier_2,400348,754,45,500000,36,0
APP-100223,26,Tier_1,819708,829,72,100000,24,0
APP-100224,40,Tier_1,563862,788,53,100000,36,0
APP-100225,30,Tier_1,860974,754,55,50000,12,0
APP-100226,27,Tier_1,1258334,719,99,50000,36,0
APP-100227,21,Tier_2,749203,789,60,100000,36,0
APP-100228,44,Tier_2,483711,616,49,50000,36,1
APP-100229,26,Tier_1,600536,620,36,50000,24,1
APP-100230,26,Tier_3,504140,716,51,50000,36,0
APP-100231,37,Tier_2,551396,695,53,50000,36,0
APP-100232,35,Tier_2,692495,608,41,100000,12,1
APP-100233,37,Tier_1,332999,787,13,100000,12,0
APP-100234,41,Tier_2,583400,726,32,500000,36,0
APP-100235,37,Tier_2,423797,697,28,50000,36,0
APP-100236,33,Tier_2,520223,674,28,100000,24,0
APP-100237,42,Tier_2,453040,672,47,500000,24,0
APP-100238,36,Tier_1,801538,822,68,200000,36,0
APP-100239,33,Tier_3,395925,822,22,100000,36,0
APP-100240,28,Tier_1,999348,686,72,50000,12,0
APP-100241,43,Tier_1,1047711,749,88,50000,24,0
APP-100242,21,Tier_3,431139,693,37,100000,24,0
APP-100243,42,Tier_1,589713,760,38,50000,24,1
APP-100244,31,Tier_3,300000,756,31,500000,36,0
APP-100245,28,Tier_1,759426,612,65,100000,36,0
APP-100246,23,Tier_1,943325,809,66,50000,24,0
APP-100247,26,Tier_1,849468,753,47,200000,36,0
APP-100248,31,Tier_2,384679,646,18,100000,36,0
APP-100249,21,Tier_3,300000,862,23,100000,24,0
APP-100250,26,Tier_1,898183,704,53,500000,36,0
APP-100251,22,Tier_2,300000,669,14,200000,36,1
APP-100252,34,Tier_2,300000,668,30,100000,12,0
APP-100253,33,Tier_1,744225,887,40,200000,24,0
APP-100254,31,Tier_2,665100,762,44,200000,12,0
APP-100255,36,Tier_1,878213,820,61,200000,24,0
APP-100256,28,Tier_3,548553,739,49,50000,12,0
APP-100257,36,Tier_3,345101,801,23,100000,12,0
APP-100258,21,Tier_3,610791,762,58,200000,12,0
APP-100259,21,Tier_1,867289,700,56,100000,12,0
APP-100260,34,Tier_2,300000,617,12,50000,12,0
APP-100261,26,Tier_1,918399,740,69,500000,12,1
APP-100262,30,Tier_1,696960,891,65,50000,36,0
APP-100263,21,Tier_2,423585,764,27,200000,24,0
APP-100264,21,Tier_1,887907,836,59,50000,12,0
APP-100265,21,Tier_1,930457,866,68,50000,24,0
APP-100266,35,Tier_1,996551,665,84,100000,24,0
APP-100267,33,Tier_2,471151,768,42,200000,12,0
APP-100268,26,Tier_1,550357,869,31,100000,36,0
APP-100269,27,Tier_2,589490,814,42,100000,24,0
APP-100270,32,Tier_2,346781,742,19,50000,12,0
APP-100271,21,Tier_1,687589,812,37,100000,24,0
APP-100272,27,Tier_2,1153676,703,83,50000,36,0
APP-100273,32,Tier_1,647056,773,40,50000,24,0
APP-100274,34,Tier_1,498043,780,41,100000,12,0
APP-100275,25,Tier_2,676012,838,58,200000,36,0
APP-100276,21,Tier_1,831569,701,58,50000,12,0
APP-100277,27,Tier_3,687158,746,44,50000,36,0
APP-100278,38,Tier_2,659113,752,53,100000,12,1
APP-100279,40,Tier_1,956847,709,62,100000,36,0
APP-100280,24,Tier_1,1049399,768,68,100000,12,0
APP-100281,48,Tier_3,341507,738,28,50000,24,0
APP-100282,27,Tier_1,927917,713,67,200000,36,0
APP-100283,34,Tier_3,448362,757,44,50000,24,0
APP-100284,31,Tier_3,412295,715,30,100000,36,0
APP-100285,28,Tier_3,529888,718,46,500000,24,1
APP-100286,36,Tier_1,468606,756,31,50000,36,0
APP-100287,41,Tier_1,787211,900,68,100000,12,0
APP-100288,34,Tier_1,857493,715,57,100000,12,0
APP-100289,26,Tier_2,359935,718,38,50000,12,0
APP-100290,26,Tier_1,922555,723,60,50000,36,0
APP-100291,21,Tier_2,718528,771,45,50000,36,0
APP-100292,29,Tier_1,972095,821,73,200000,24,0
APP-100293,29,Tier_3,300000,651,31,50000,12,0
APP-100294,34,Tier_1,1003906,724,80,100000,24,0
APP-100295,27,Tier_1,853632,786,58,50000,12,0
APP-100296,23,Tier_1,845170,869,64,50000,24,0
APP-100297,22,Tier_1,1019031,754,57,100000,24,0
APP-100298,30,Tier_1,748291,780,62,100000,12,0
APP-100299,32,Tier_2,394032,760,18,50000,12,0
APP-100300,29,Tier_3,382563,769,20,50000,12,1
APP-100301,33,Tier_1,925231,743,55,500000,12,1
APP-100302,32,Tier_1,905108,859,68,100000,12,0
APP-100303,30,Tier_1,654145,625,46,100000,36,0
APP-100304,26,Tier_1,681048,849,50,200000,24,0
APP-100305,25,Tier_2,626986,711,40,100000,12,0
APP-100306,21,Tier_3,574312,774,55,50000,12,0
APP-100307,28,Tier_1,840753,801,50,50000,36,0
APP-100308,36,Tier_2,463161,623,26,200000,24,1
APP-100309,28,Tier_2,300000,800,31,100000,24,0
APP-100310,30,Tier_1,773443,641,48,50000,36,0
APP-100311,21,Tier_1,1020944,779,79,50000,24,0
APP-100312,34,Tier_2,300000,819,37,50000,12,1
APP-100313,22,Tier_1,911319,674,67,50000,12,0
APP-100314,38,Tier_2,866569,656,58,100000,24,0
APP-100315,26,Tier_2,471097,741,24,100000,36,0
APP-100316,38,Tier_1,606160,783,53,200000,36,0
APP-100317,39,Tier_1,1062543,696,89,50000,36,0
APP-100318,36,Tier_2,711209,653,48,100000,36,0
APP-100319,30,Tier_1,686825,833,37,500000,24,0
APP-100320,49,Tier_3,713515,851,46,50000,12,0
APP-100321,30,Tier_1,800680,830,57,200000,36,0
APP-100322,33,Tier_3,399875,749,32,100000,24,0
APP-100323,38,Tier_2,994221,733,61,100000,36,0
APP-100324,40,Tier_1,849565,824,51,100000,36,0
APP-100325,31,Tier_1,1321798,635,102,50000,24,1
APP-100326,22,Tier_3,564061,730,52,100000,12,0
APP-100327,35,Tier_3,573481,720,54,50000,24,0
APP-100328,21,Tier_2,810531,900,49,200000,36,0
APP-100329,21,Tier_1,570020,837,30,100000,24,0
APP-100330,44,Tier_2,300000,753,32,100000,36,0
APP-100331,24,Tier_3,616643,863,46,50000,24,0
APP-100332,29,Tier_2,738083,813,46,200000,36,0
APP-100333,22,Tier_2,956238,873,56,100000,24,0
APP-100334,41,Tier_3,363983,559,42,50000,12,0
APP-100335,28,Tier_1,839077,777,59,50000,24,0
APP-100336,45,Tier_1,782569,802,67,100000,12,0
APP-100337,23,Tier_1,835258,759,67,500000,12,0
APP-100338,25,Tier_2,702209,751,57,50000,24,0
APP-100339,39,Tier_1,785511,701,49,200000,12,0
APP-100340,35,Tier_1,918411,790,72,100000,36,1
APP-100341,36,Tier_1,831418,685,63,200000,24,0
APP-100342,34,Tier_3,922722,900,79,100000,24,0
APP-100343,37,Tier_3,529303,769,54,50000,12,0
APP-100344,21,Tier_1,574334,900,36,100000,24,0
APP-100345,25,Tier_2,467779,705,44,200000,24,0
APP-100346,27,Tier_1,747384,570,54,50000,12,0
APP-100347,37,Tier_1,389564,826,24,50000,24,0
APP-100348,37,Tier_1,981847,818,57,50000,24,0
APP-100349,30,Tier_2,332686,705,41,200000,36,0
APP-100350,37,Tier_2,541306,810,38,100000,12,0
APP-100351,37,Tier_1,1106738,786,71,50000,12,0
APP-100352,25,Tier_1,1266444,656,86,50000,24,0
APP-100353,40,Tier_2,312850,784,10,100000,36,0
APP-100354,26,Tier_3,680841,722,63,50000,24,0
APP-100355,26,Tier_2,529620,751,30,100000,24,0
APP-100356,34,Tier_2,511281,689,50,100000,24,0
APP-100357,31,Tier_2,831606,811,73,100000,12,0
APP-100358,39,Tier_3,397638,652,45,50000,24,0
APP-100359,28,Tier_2,438807,669,32,200000,24,0
APP-100360,39,Tier_1,888439,697,74,200000,12,0
APP-100361,38,Tier_1,998132,824,56,100000,24,0
APP-100362,23,Tier_2,544695,724,38,50000,24,0
APP-100363,35,Tier_1,740390,900,42,50000,24,0
APP-100364,21,Tier_3,728520,866,58,50000,12,0
APP-100365,38,Tier_1,807890,825,49,200000,24,0
APP-100366,23,Tier_1,605063,753,53,100000,36,0
APP-100367,25,Tier_1,1016739,600,57,500000,36,0
APP-100368,29,Tier_2,356765,816,32,100000,36,0
APP-100369,24,Tier_2,485670,621,46,100000,36,0
APP-100370,36,Tier_3,364614,693,33,500000,12,0
APP-100371,24,Tier_1,953806,686,68,200000,24,0
APP-100372,35,Tier_1,554988,643,51,100000,12,0
APP-100373,29,Tier_1,924422,813,62,100000,36,0
APP-100374,37,Tier_1,766345,759,67,500000,36,0
APP-100375,27,Tier_1,808078,798,52,500000,36,0
APP-100376,38,Tier_3,810104,662,71,200000,12,0
APP-100377,33,Tier_2,300000,705,29,200000,12,0
APP-100378,35,Tier_1,823890,821,64,50000,36,0
APP-100379,30,Tier_1,915347,739,66,100000,24,0
APP-100380,21,Tier_2,474391,754,33,500000,24,1
APP-100381,26,Tier_3,489892,766,49,500000,36,0
APP-100382,21,Tier_1,670494,780,39,200000,12,0
APP-100383,41,Tier_2,844674,565,67,50000,36,0
APP-100384,26,Tier_1,1117558,759,72,50000,24,0
APP-100385,21,Tier_2,424877,717,41,200000,24,0
APP-100386,28,Tier_3,300000,694,20,200000,24,0
APP-100387,42,Tier_2,446596,794,46,100000,12,0
APP-100388,31,Tier_1,1015966,865,57,50000,12,0
APP-100389,21,Tier_3,457121,571,47,200000,36,0
APP-100390,21,Tier_1,487606,748,22,50000,36,0
APP-100391,30,Tier_1,1040132,703,71,200000,12,0
APP-100392,38,Tier_1,549425,700,47,100000,36,0
APP-100393,25,Tier_3,300000,685,26,200000,24,0
APP-100394,42,Tier_2,669454,700,58,50000,36,0
APP-100395,30,Tier_2,709775,602,46,200000,12,0
APP-100396,26,Tier_1,931073,531,69,500000,12,1
APP-100397,21,Tier_3,386059,678,33,500000,36,0
APP-100398,30,Tier_3,300000,807,17,50000,36,0
APP-100399,33,Tier_3,300000,881,22,200000,12,0
APP-100400,21,Tier_1,1185811,827,70,500000,24,0
APP-100401,42,Tier_1,518412,686,27,50000,24,0
APP-100402,38,Tier_1,520487,844,45,50000,36,0
APP-100403,37,Tier_1,1312378,782,85,200000,12,0
APP-100404,25,Tier_1,1155678,742,74,50000,36,0
APP-100405,21,Tier_2,423628,767,20,100000,12,0
APP-100406,38,Tier_3,789429,710,44,100000,12,0
APP-100407,29,Tier_3,300000,776,38,100000,36,0
APP-100408,21,Tier_1,625313,795,44,100000,36,0
APP-100409,21,Tier_3,541047,881,40,200000,24,1
APP-100410,24,Tier_1,726516,707,59,50000,12,0
APP-100411,26,Tier_1,954444,653,78,200000,36,0
APP-100412,25,Tier_1,684699,851,48,50000,36,0
APP-100413,41,Tier_2,300000,636,36,100000,12,0
APP-100414,21,Tier_3,300000,696,38,50000,36,0
APP-100415,37,Tier_1,902215,735,58,50000,12,0
APP-100416,29,Tier_1,726652,839,42,100000,12,0
APP-100417,38,Tier_1,945772,758,81,50000,36,0
APP-100418,28,Tier_2,567135,751,44,50000,12,0
APP-100419,42,Tier_1,533328,645,30,100000,24,0
APP-100420,34,Tier_1,730773,845,40,200000,36,0
APP-100421,36,Tier_2,694041,788,40,100000,24,0
APP-100422,21,Tier_3,641065,705,59,50000,12,0
APP-100423,32,Tier_3,974439,830,56,100000,12,0
APP-100424,32,Tier_2,708175,840,66,100000,12,0
APP-100425,28,Tier_3,413589,761,37,100000,36,0
APP-100426,26,Tier_2,328960,764,37,100000,36,0
APP-100427,31,Tier_1,816835,753,72,50000,36,0
APP-100428,36,Tier_1,733028,874,48,200000,24,0
APP-100429,36,Tier_3,777446,790,52,100000,24,0
APP-100430,30,Tier_1,606099,772,41,50000,12,0
APP-100431,29,Tier_1,1002874,828,79,500000,24,0
APP-100432,24,Tier_3,542754,682,36,200000,12,0
APP-100433,35,Tier_1,979238,872,81,50000,36,0
APP-100434,31,Tier_2,673452,721,41,50000,12,0
APP-100435,27,Tier_1,435605,695,48,100000,24,0
APP-100436,38,Tier_1,1052167,834,75,50000,12,0
APP-100437,34,Tier_2,679543,754,56,50000,36,0
APP-100438,42,Tier_1,332536,812,24,50000,12,0
APP-100439,24,Tier_1,882164,900,49,50000,12,0
APP-100440,37,Tier_1,494575,652,34,100000,24,0
APP-100441,28,Tier_1,727276,836,59,50000,24,0
APP-100442,33,Tier_2,572384,868,34,200000,24,0
APP-100443,37,Tier_3,545678,721,38,50000,36,0
APP-100444,29,Tier_3,455303,637,39,100000,12,0
APP-100445,21,Tier_2,1001233,756,75,50000,12,0
APP-100446,31,Tier_3,300000,764,30,200000,36,0
APP-100447,35,Tier_1,688741,732,37,100000,24,0
APP-100448,29,Tier_3,456900,677,26,200000,24,0
APP-100449,31,Tier_2,300000,728,22,100000,12,0
APP-100450,34,Tier_1,880725,877,66,100000,12,0
APP-100451,35,Tier_2,554470,900,38,50000,12,0
APP-100452,25,Tier_2,399198,865,26,50000,36,0
APP-100453,33,Tier_3,500191,727,31,100000,36,0
APP-100454,33,Tier_3,309934,763,12,50000,12,0
APP-100455,27,Tier_1,614055,900,41,50000,36,0
APP-100456,30,Tier_1,1001575,650,72,100000,36,0
APP-100457,41,Tier_2,536495,795,31,100000,12,1
APP-100458,31,Tier_1,547020,673,30,100000,12,1
APP-100459,42,Tier_1,774776,818,43,100000,24,0
APP-100460,38,Tier_1,713923,772,61,50000,12,0
APP-100461,33,Tier_2,672438,701,45,200000,12,1
APP-100462,34,Tier_1,831545,676,74,50000,12,0
APP-100463,45,Tier_3,360447,746,33,500000,24,0
APP-100464,33,Tier_2,578098,672,42,50000,24,0
APP-100465,28,Tier_3,300000,587,27,500000,12,1
APP-100466,35,Tier_1,881916,775,52,100000,24,0
APP-100467,31,Tier_1,665923,659,36,500000,36,0
APP-100468,36,Tier_1,766561,683,63,50000,24,0
APP-100469,32,Tier_1,911387,775,70,100000,24,0
APP-100470,24,Tier_1,622077,763,55,50000,36,0
APP-100471,46,Tier_3,524265,795,26,100000,36,1
APP-100472,26,Tier_1,874815,727,68,50000,36,0
APP-100473,26,Tier_3,453327,551,42,50000,36,1
APP-100474,31,Tier_1,1050400,875,61,50000,24,0
APP-100475,29,Tier_1,1032664,689,71,50000,24,0
APP-100476,37,Tier_1,821293,713,59,50000,12,0
APP-100477,28,Tier_3,393745,741,20,500000,24,0
APP-100478,23,Tier_1,530646,683,38,100000,24,0
APP-100479,46,Tier_2,603286,691,43,200000,24,0
APP-100480,21,Tier_3,641152,745,60,100000,12,0
APP-100481,51,Tier_1,610817,754,58,100000,36,0
APP-100482,43,Tier_1,650023,759,41,50000,12,1
APP-100483,21,Tier_1,768529,563,61,50000,24,1
APP-100484,26,Tier_1,1134442,703,80,50000,36,0
APP-100485,23,Tier_1,1085940,610,91,500000,12,1
APP-100486,43,Tier_1,787722,743,60,100000,12,0
APP-100487,41,Tier_2,449177,833,46,500000,36,0
APP-100488,32,Tier_3,525081,854,27,100000,36,0
APP-100489,29,Tier_1,1169349,749,82,50000,24,0
APP-100490,32,Tier_1,930867,746,81,500000,24,0
APP-100491,46,Tier_1,741261,715,47,50000,36,0
APP-100492,25,Tier_3,328824,744,14,50000,36,0
